"","Transform","Ind","Transport","Housing","Commercial","Public","Agri","Waste","Dint","HE","GE","HI","GI","ST","Gold","EX","Dfin","Dtotal","Qtotal","Qself","Imp","Resout","Stotal_b","PTAXd","PTAXim","Psub","Cmargin","Tmargin","Contotal","Stotal_p"
"Transform",10388525,21525212,1983341,60234,17779621,3321182,202101,440993,55701209,15846269,0,0,0,0,0,101795,15948064,71649273,71494272,0,155001,0,71649273,0,0,0,0,0,0,71649273
"Ind",37069457,1077047405,32809519,3683049,109168182,14175668,13668355,3839477,1291461112,120488401,0,224371441,53298114,13626309,775020,545318782,957878067,2249339179,1649453218,96335425,494106692,9443844,2249339179,0,0,0,0,0,0,2249339179
"Transport",235280,34836630,24089149,108,22599953,1576732,715963,826277,84880092,22340774,0,282449,39090,71465,1100,44697542,67432420,152312512,129512939,0,22799573,0,152312512,0,0,0,0,0,0,152312512
"Housing",0,0,0,0,0,0,0,0,0,81588038,0,0,0,0,0,380637,81968675,81968675,81096033,0,872642,0,81968675,0,0,0,0,0,0,81968675
"Commercial",3912045,173160572,20307561,10168523,225304968,21386510,5347996,3069922,462658097,314639208,43261534,71401126,2530873,1638240,87738,40600951,474159670,936817767,877628877,0,59188890,0,936817767,0,0,0,0,0,0,936817767
"Public",70041,892811,630139,14955,2959614,685276,42361,90247,5385444,10879738,139163834,0,6029448,0,0,273067,156346087,161731531,159592373,0,2139158,0,161731531,0,0,0,0,0,0,161731531
"Agri",1549,15832001,12738,0,14322854,96730,19117867,2454,49386193,23066875,0,235749,13399,1914942,0,564581,25795546,75181739,62770501,0,12411238,0,75181739,0,0,0,0,0,0,75181739
"Waste",204269,8520531,240364,0,2761778,553388,31335,1003628,13315293,2486224,683147,0,0,0,0,39108,3208479,16523772,16519250,0,4522,0,16523772,0,0,0,0,0,0,16523772
"idinput1",51881166,1331815162,80072811,13926869,394896970,41795486,39125978,9272998,1962787440,591335527,183108515,296290765,61910924,17250956,863858,631976463,1782737008,3745524448,3048067463,96335425,591677716,9443844,3745524448,0,0,0,0,0,0,3745524448
"PTAXin",2373261,11539798,5598561,415802,17680039,3221778,377904,799595,42006738,46452566,0,25935922,4639034,1082046,67562,0,78177130,120183868,99506481,0,20677387,0,120183868,0,0,0,0,0,0,120183868
"Resin",-53667,-4737024,-73548,-2419,-506972,-78188,-871,-62690,-5515379,-1075434,0,-2351576,-501455,0,0,0,-3928465,-9443844,0,0,0,-9443844,-9443844,0,0,0,0,0,0,-9443844
"idinput2",54200760,1338617936,85597824,14340252,412070037,44939076,39503011,10009903,1999278799,636712659,183108515,319875111,66048503,18333002,931420,631976463,1856985673,3856264472,3147573944,96335425,612355103,0,3856264472,0,0,0,0,0,0,3856264472
"Payroll",4356720,186360343,22940155,0,237529835,80684516,1812858,2665831,536350258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Surplus",2786945,126262375,7740161,44666507,163147026,337635,16087637,1958275,362986561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deprec",10019110,91184875,12758658,17766248,60144668,33605465,4830335,1823823,232133182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTAXetc",130737,3363114,476141,4323026,4737311,25681,536660,61418,13654088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",17293512,407170707,43915115,66755781,465558840,114653297,23267490,6509347,1145124089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tinput",71494272,1745788643,129512939,81096033,877628877,159592373,62770501,16519250,3144402888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
